Title Number,Tenure,Property Address,District,County,Region,Postcode,Multiple Address Indicator,Price Paid,Proprietor Name (1),Company Registration No. (1),Proprietorship Category (1),Proprietor (1) Address (1),Proprietor (1) Address (2),Proprietor (1) Address (3),Proprietor Name (2),Company Registration No. (2),Proprietorship Category (2),Proprietor (2) Address (1),Proprietor (2) Address (2),Proprietor (2) Address (3),Proprietor Name (3),Company Registration No. (3),Proprietorship Category (3),Proprietor (3) Address (1),Proprietor (3) Address (2),Proprietor (3) Address (3),Proprietor Name (4),Company Registration No. (4),Proprietorship Category (4),Proprietor (4) Address (1),Proprietor (4) Address (2),Proprietor (4) Address (3),Date Proprietor Added,Additional Proprietor Indicator
NGL943372,Leasehold,"Sixth Floor, 6 Chesterfield Gardens, London (W1J 5BQ)",CITY OF WESTMINSTER,GREATER LONDON,GREATER LONDON,W1J 5BQ,N,,LETTERONE TELECOM (UK) LLP,OC386300,Limited Liability Partnership,"Sixth Floor, 6 Chesterfield Gardens, London W1J 5BQ",,,,,,,,,,,,,,,,,,,,,11-02-2015,N
MS358391,Leasehold,"Unit BT 379/38 Bassendale Road, Croft Business Park, Bromborough, (CH62 3QL)",WIRRAL,MERSEYSIDE,NORTH WEST,CH62 3QL,N,,LABELLING DYNAMICS LIMITED,01858357,Limited Company or Public Limited Company,"Princesway Central, Team Valley Trading Estate, Gateshead, Tyne and Wear NE11 0TU",,,,,,,,,,,,,,,,,,,,,29-08-2002,N
NGL960249,Leasehold,"Flat 7, 235 Sussex Gardens, London (W2 2RL)",CITY OF WESTMINSTER,GREATER LONDON,GREATER LONDON,W2 2RL,N,,AB CONNECT LIMITED,09669406,Limited Company or Public Limited Company,"39 Conduit Mews, London W2 3RE",,,,,,,,,,,,,,,,,,,,,19-05-2016,N
AGL329737,Leasehold,"Unit 1, 6-14 Pritchards Road, London (E2 9AP)",TOWER HAMLETS,GREATER LONDON,GREATER LONDON,E2 9AP,N,,THE SQUARE MILE COFFEE ROASTERS LIMITED,06314250,Limited Company or Public Limited Company,"2 Europe Way, Cockermouth CA13 0RJ",,,,,,,,,,,,,,,,,,,,,11-12-2014,N
AGL329738,Leasehold,"Unit 2, 6-14 Pritchards Road, London (E2 9AP)",TOWER HAMLETS,GREATER LONDON,GREATER LONDON,E2 9AP,N,,THE SQUARE MILE COFFEE ROASTERS LIMITED,06314250,Limited Company or Public Limited Company,"2 Europe Way, Cockermouth CA13 0RJ",,,,,,,,,,,,,,,,,,,,,11-12-2014,N
NGL908759,Leasehold,"Office Premises Part Of Ground Floor, 55 Baker Street, London",CITY OF WESTMINSTER,GREATER LONDON,GREATER LONDON,,N,,BREVAN HOWARD ASSET MANAGEMENT LLP,OC302636,Limited Liability Partnership,"55 Baker Street, London W1U 8EW",,,,,,,,,,,,,,,,,,,,,04-02-2010,N
NGL908769,Leasehold,"Office Premises, part of Basement And First Floor, 55 Baker Street, London",CITY OF WESTMINSTER,GREATER LONDON,GREATER LONDON,,N,,BREVAN HOWARD ASSET MANAGEMENT LLP,OC302636,Limited Liability Partnership,"55 Baker Street, London W1U 8EW",,,,,,,,,,,,,,,,,,,,,04-02-2010,N
NGL908759,Leasehold,"Office Premises Part Of Ground Floor, 55 Baker Street, London",CITY OF WESTMINSTER,GREATER LONDON,GREATER LONDON,,N,,BREVAN HOWARD ASSET MANAGEMENT LLP,OC302636,Limited Liability Partnership,"55 Baker Street, London W1U 8EW",,,,,,,,,,,,,,,,,,,,,04-02-2010,N
NGL908769,Leasehold,"Office Premises, part of Basement And First Floor, 55 Baker Street, London",CITY OF WESTMINSTER,GREATER LONDON,GREATER LONDON,,N,,BREVAN HOWARD ASSET MANAGEMENT LLP,OC302636,Limited Liability Partnership,"55 Baker Street, London W1U 8EW",,,,,,,,,,,,,,,,,,,,,04-02-2010,N
AGL388541,Leasehold,"Ground Floor, 46 Fish Street Hill, London (EC3R 6BR)",CITY OF LONDON,GREATER LONDON,GREATER LONDON,EC3R 6BR,N,,OLIVE AND SQUASH LIMITED,09699776,Limited Company or Public Limited Company,"Ground Floor, 46 Fish Street Hill, London EC3R 6BR",,,,,,,,,,,,,,,,,,,,,08-09-2016,N
