DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Crime Code 1,Crime Code 2,Crime Code 3,Crime Code 4,Address,Cross Street,Location 
190107849,02/26/2019,11/17/2015,2000,,Central,0145,510,VEHICLE - STOLEN,,0,,,103,ALLEY,,,IC,Invest Cont,510,,,,400 S  MAIN                         ST,,"(34.0482, -118.2472)"
190307129,02/18/2019,10/01/2015,0001,,Southwest,0315,815,SEXUAL PENETRATION W/FOREIGN OBJECT,0515 1251 1258 0556 0507 0512,9,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,815,,,2200 W  26TH                         PL,,"(34.0318, -118.3152)"
190307181,02/20/2019,01/01/2015,0001,,Southwest,0356,760,LEWD/LASCIVIOUS ACTS WITH CHILD,1258 1251 0515 0522 2024 0360,7,F,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,760,,,,1400 W  36TH                         PL,,"(34.0219, -118.3002)"
190307182,02/20/2019,01/01/2015,0001,,Southwest,0356,760,LEWD/LASCIVIOUS ACTS WITH CHILD,1258 1251 0515 0522 2024 0360,9,F,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,760,,,,1400 W  36TH                         PL,,"(34.0219, -118.3002)"
190307363,02/22/2019,11/12/2015,1500,,Southwest,0313,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,707,GARAGE/CARPORT,,,IC,Invest Cont,420,,,,2700    EDGEHILL                     DR,,"(34.0333, -118.3311)"
190405597,02/07/2019,12/01/2015,0800,,Hollenbeck,0451,354,THEFT OF IDENTITY,0100,21,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,1200    GABRIEL GARCIA MARQUEZ       ST,,"(34.051, -118.227)"
190506220,02/20/2019,01/01/2015,0001,,Harbor,0587,354,THEFT OF IDENTITY,0930 0928,51,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,700    HAMILTON                     PL,,"(33.7211, -118.2916)"
190506487,02/26/2019,08/25/2015,0600,,Harbor,0585,662,"BUNCO, GRAND THEFT",0701,58,F,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,662,,,,600 W  22ND                         ST,,"(33.7243, -118.2902)"
190606930,02/20/2019,02/19/2015,2350,,Hollywood,0631,901,VIOLATION OF RESTRAINING ORDER,2038 0421,27,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,901,,,,9000    SHOREHAM                     DR,,"(34.0915, -118.3888)"
190706043,02/11/2019,11/05/2015,1200,,Wilshire,0711,354,THEFT OF IDENTITY,0100,28,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,400 N  CRESCENT HEIGHTS             BL,,"(34.0782, -118.3659)"
